OBJECTID,ACTIVITY,VERSION,YEAR,ALL_OPER_UNITS,OPER_UNIT_GROUP,OPERATING_UNIT,OPERATING_UNIT_DESCRIPTION,ALL_DEPTS,DEPARTMENT_OP_UNIT,DEPARTMENT_DIVISION,DEPTID,DEPARTMENT_DESCRIPTION,ALL_FUNDS,FUND_GROUP,FUND_SUMMARY,FUND,FUND_DESCRIPTION,ALL_ACCOUNTS,NET,EXPREV,OJBECT_CLASS,ACCOUNT_CATEGORY,ACCOUNT,ACCOUNT_DESCRIPTION,BUDGET_AMOUNT
11011,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001011,Office of the Chief-Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_458040,Other Travel Expenses,33601
11012,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001011,Office of the Chief-Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,General Supplies,E_461010,Postage,400
11013,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001011,Office of the Chief-Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,General Supplies,E_461020,Office Supplies,8000
11014,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001011,Office of the Chief-Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,General Supplies,E_461090,Scientific And Technical Supply,3858
11015,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001011,Office of the Chief-Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,General Supplies,E_461150,Recreational Supplies,10000
11016,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001011,Office of the Chief-Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,General Supplies,E_461160,Small Tools And Equipment,1500
11017,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001011,Office of the Chief-Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,General Supplies,E_461200,Computer Supplies,7000
11018,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001011,Office of the Chief-Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Food,E_463010,Food - Food Programs,2000
11019,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001011,Office of the Chief-Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Books and Periodicals,E_464010,Books & Periodicals,2700
11020,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001011,Office of the Chief-Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Objects,E_481010,Group Benefit Clearing,1602
11021,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001011,Office of the Chief-Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Objects,E_481080,Purchase Card Clearing,10000
11022,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001011,Office of the Chief-Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Objects,E_481150,Memberships Licenses and Dues,2000
11023,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001011,Office of the Chief-Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Revenues,"Charges, Fees, and Services","Charges, Fees, & Services Accounts",R_347090,Other Departmental Service,21000
11024,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001011,Office of the Chief-Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Salaries,E_411010,Regular Hours,1944779
11025,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001011,Office of the Chief-Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Earnings,E_412010,Overtime,9500
11026,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001011,Office of the Chief-Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Earnings,E_412060,On Call,17000
11027,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001011,Office of the Chief-Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Earnings,E_412070,Out Of Class,22997
11028,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001011,Office of the Chief-Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413070,Holiday Credit Used,18546
11029,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001011,Office of the Chief-Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413090,In Lieu Vacation,2509
11030,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001011,Office of the Chief-Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413130,Longevity,600
11031,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001011,Office of the Chief-Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413150,Insurance Contribution,172652
11032,NetZeroAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001021,Fiscal Operations,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Labor Adjustments,E_810090,Department Reclasses,-21865
11033,NetZeroAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001021,Fiscal Operations,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_458040,Other Travel Expenses,1346
11034,NetZeroAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001021,Fiscal Operations,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Objects,E_481010,Group Benefit Clearing,-1346
11035,PropApprAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001021,Fiscal Operations,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Labor Adjustments,E_810090,Department Reclasses,21865
11036,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001021,Fiscal Operations,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413170,PERS Retirement,104880
11037,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001021,Fiscal Operations,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413EPERC,EPERC,-1899
11038,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001021,Fiscal Operations,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413190,Deferred Compensation No 1,19415
11039,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001021,Fiscal Operations,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413200,Management Leave Pay Off,484
11040,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001021,Fiscal Operations,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413210,Bus Passes,800
11041,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001021,Fiscal Operations,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413280,Automobile Allowance,600
11042,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001021,Fiscal Operations,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413300,Clothing and Uniforms,832
11043,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001021,Fiscal Operations,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employer Paid Taxes,E_415010,FICA - OASDI,41868
11044,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001021,Fiscal Operations,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employer Paid Taxes,E_415015,Medicare Insurance,9792
11045,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001021,Fiscal Operations,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employer Paid Taxes,E_415020,State Unemployment Insurance,2100
11046,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001021,Fiscal Operations,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employer Paid Taxes,E_415030,Worker's Compensation,6753
11047,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001021,Fiscal Operations,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Property Services,E_443020,Repair And Maintenance Services,3000
11048,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001021,Fiscal Operations,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_453020,Cellular Telephone,10000
11049,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001021,Fiscal Operations,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_458040,Other Travel Expenses,10000
11050,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001021,Fiscal Operations,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,General Supplies,E_461010,Postage,50
11051,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001021,Fiscal Operations,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,General Supplies,E_461020,Office Supplies,2500
11052,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001021,Fiscal Operations,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,General Supplies,E_461090,Scientific And Technical Supply,6400
11053,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001021,Fiscal Operations,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,General Supplies,E_461160,Small Tools And Equipment,1000
11054,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001021,Fiscal Operations,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,General Supplies,E_461200,Computer Supplies,2000
11055,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001021,Fiscal Operations,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Food,E_463010,Food - Food Programs,1000
11056,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001021,Fiscal Operations,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Books and Periodicals,E_464010,Books & Periodicals,1330
11057,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001021,Fiscal Operations,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Objects,E_481010,Group Benefit Clearing,1346
11058,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001021,Fiscal Operations,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Objects,E_481080,Purchase Card Clearing,5000
11059,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001021,Fiscal Operations,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Objects,E_481150,Memberships Licenses and Dues,200
11060,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001021,Fiscal Operations,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Salaries,E_411010,Regular Hours,675294
11061,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001021,Fiscal Operations,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Earnings,E_412010,Overtime,12500
11062,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001021,Fiscal Operations,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Earnings,E_412070,Out Of Class,5000
11063,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001021,Fiscal Operations,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413090,In Lieu Vacation,605
11064,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001021,Fiscal Operations,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413130,Longevity,100
11065,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001021,Fiscal Operations,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413150,Insurance Contribution,92916
11066,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001041,Internal Affairs/Prof Standard,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Food,E_463010,Food - Food Programs,50
11067,NetZeroAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001041,Internal Affairs/Prof Standard,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_433060,Other Professional Services,1489
11068,NetZeroAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001041,Internal Affairs/Prof Standard,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Objects,E_481010,Group Benefit Clearing,-1489
11069,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001041,Internal Affairs/Prof Standard,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Books and Periodicals,E_464010,Books & Periodicals,2920
11070,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001041,Internal Affairs/Prof Standard,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Objects,E_481010,Group Benefit Clearing,1489
11071,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001041,Internal Affairs/Prof Standard,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Objects,E_481150,Memberships Licenses and Dues,85
11072,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001041,Internal Affairs/Prof Standard,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Salaries,E_411010,Regular Hours,727702
11073,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001041,Internal Affairs/Prof Standard,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Earnings,E_412010,Overtime,40300
11074,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001041,Internal Affairs/Prof Standard,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Earnings,E_412060,On Call,20000
11075,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001041,Internal Affairs/Prof Standard,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Earnings,E_412070,Out Of Class,237
11076,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001041,Internal Affairs/Prof Standard,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413070,Holiday Credit Used,12128
11077,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001041,Internal Affairs/Prof Standard,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413090,In Lieu Vacation,1665
11078,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001041,Internal Affairs/Prof Standard,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413120,Sick Leave Annual,1272
11079,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001041,Internal Affairs/Prof Standard,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413130,Longevity,400
11080,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001041,Internal Affairs/Prof Standard,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413150,Insurance Contribution,88586
11081,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001041,Internal Affairs/Prof Standard,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413170,PERS Retirement,225356
11082,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001041,Internal Affairs/Prof Standard,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413EPERC,EPERC,-10524
